tender_id,project_name,sector,region,country,subregion,value_usd_m,bid_deadline,client,project_start_date,duration_months,esg_requirements,risk_factors,procurement_type,project_complexity,project_scale,description
tid-20329,"data center in victoria, australia",healthcare,australia,australia,victoria,837.86,2025-08-04,ngo,2027-04-16,93,community engagement,supply chain delays,design-build,medium,large,"open tender for a healthcare large-scale project: high-rise building in victoria, australia. requires sustainable materials."
tid-20330,"wind farm in malaysia, malaysia",utilities,asia-pacific,malaysia,malaysia,27.7,2025-07-13,corporate,2025-08-16,37,carbon neutrality,regulatory changes,selective bid,low,small,"open tender for a utilities small-scale project: oil pipeline in malaysia, malaysia. requires sustainable materials."
tid-20331,"data center in florida, usa",commercial,north america,usa,florida,207.42,2027-05-17,ngo,2030-02-06,14,community engagement,supply chain delays,epc,low,large,"open tender for a commercial large-scale project: highway in florida, usa. requires bim integration."
tid-20332,"highway in karnataka, india",transportation,asia-pacific,india,karnataka,302.71,2028-01-19,ngo,2027-02-10,28,water conservation,environmental concerns,open bid,medium,large,"open tender for a transportation large-scale project: dam in karnataka, india. requires local labor."
tid-20333,"dam in kwazulu-natal, south africa",healthcare,africa,south africa,kwazulu-natal,19.0,2027-02-07,public-private partnership,2028-08-10,70,water conservation,environmental concerns,design-build,medium,small,"open tender for a healthcare small-scale project: power plant in kwazulu-natal, south africa. requires sustainable materials."
tid-20334,"refinery in algeria, algeria",residential,africa,algeria,algeria,37.55,2027-12-27,corporate,2028-03-01,27,water conservation,cost overruns,epc,medium,small,"open tender for a residential small-scale project: refinery in algeria, algeria. requires sustainable materials."
tid-20335,"warehouse in kenya, kenya",transportation,africa,kenya,kenya,27.8,2025-07-13,ngo,2029-06-26,71,community engagement,supply chain delays,open bid,medium,small,"open tender for a transportation small-scale project: water treatment plant in kenya, kenya. requires modular construction."
tid-20336,"wind farm in netherlands, netherlands",transportation,europe,netherlands,netherlands,2422.57875,2027-12-01,private developer,2025-10-03,18,unknown,geopolitical risks,design-build,low,mega,"open tender for a transportation mega-scale project: university campus in netherlands, netherlands. requires smart city tech."
tid-20337,"dam in germany, germany",energy,europe,germany,germany,57.11,2026-07-09,utility company,2029-05-18,77,carbon neutrality,environmental concerns,epc,low,medium,"open tender for a energy medium-scale project: dam in germany, germany. requires bim integration."
tid-20338,"smart city in japan, japan",education,asia-pacific,japan,japan,2422.57875,2028-02-19,municipality,2030-04-02,55,waste reduction,unknown,selective bid,high,mega,"open tender for a education mega-scale project: smart city in japan, japan. requires local labor."
tid-20339,"warehouse in chile, chile",infrastructure,latin america,chile,chile,657.64,2028-01-07,state-owned enterprise,2027-05-08,69,green building,environmental concerns,epc,medium,large,"open tender for a infrastructure large-scale project: oil pipeline in chile, chile. requires bim integration."
tid-20340,"power plant in netherlands, netherlands",transportation,europe,netherlands,netherlands,2422.57875,2025-07-14,ngo,2028-04-22,76,unknown,supply chain delays,epc,medium,mega,"open tender for a transportation mega-scale project: railway in netherlands, netherlands. requires local labor."
tid-20341,"shopping mall in qatar, qatar",infrastructure,middle east,qatar,qatar,33.42,2027-06-04,government,2030-04-02,20,water conservation,labor shortages,selective bid,low,small,"open tender for a infrastructure small-scale project: shopping mall in qatar, qatar. requires modular construction."
tid-20342,"school in japan, japan",utilities,asia-pacific,japan,japan,48.17,2025-08-01,private developer,2026-08-12,20,carbon neutrality,supply chain delays,selective bid,high,small,"open tender for a utilities small-scale project: port in japan, japan. requires smart city tech."
tid-20343,"highway in uae, uae",utilities,middle east,uae,uae,173.42,2028-02-17,public-private partnership,2027-09-28,10,green building,cost overruns,selective bid,high,medium,"open tender for a utilities medium-scale project: port in uae, uae. requires smart city tech."
tid-20344,"residential complex in kenya, kenya",industrial,africa,kenya,kenya,677.35,2027-06-30,utility company,2027-11-02,70,renewable energy,labor shortages,open bid,medium,large,"open tender for a industrial large-scale project: residential complex in kenya, kenya. requires smart city tech."
tid-20345,"solar plant in venezuela, venezuela",transportation,latin america,venezuela,venezuela,2422.57875,2027-06-28,public-private partnership,2025-12-01,89,green building,unknown,epc,medium,mega,"open tender for a transportation mega-scale project: stadium in venezuela, venezuela. requires modular construction."
tid-20346,"university campus in queensland, australia",transportation,australia,australia,queensland,12.99,2025-10-14,private developer,2029-07-17,81,waste reduction,unknown,design-build,high,small,"open tender for a transportation small-scale project: stadium in queensland, australia. requires local labor."
tid-20347,"stadium in qatar, qatar",energy,middle east,qatar,qatar,152.21,2027-07-27,municipality,2027-01-05,34,carbon neutrality,environmental concerns,negotiated contract,high,medium,"open tender for a energy medium-scale project: metro system in qatar, qatar. requires modular construction."
tid-20348,"data center in malaysia, malaysia",energy,asia-pacific,malaysia,malaysia,2422.57875,2028-03-04,corporate,2026-04-28,29,waste reduction,cost overruns,design-build,low,mega,"open tender for a energy mega-scale project: hospital in malaysia, malaysia. requires local labor."
tid-20349,"airport in northern ireland, uk",transportation,europe,uk,northern ireland,2422.57875,2027-08-22,public-private partnership,2025-12-24,74,green building,unknown,epc,medium,mega,"open tender for a transportation mega-scale project: university campus in northern ireland, uk. requires modular construction."
tid-20350,"oil pipeline in uae, uae",infrastructure,middle east,uae,uae,87.7,2026-01-08,corporate,2030-03-03,56,unknown,geopolitical risks,design-build,high,medium,"open tender for a infrastructure medium-scale project: shopping mall in uae, uae. requires bim integration."
tid-20351,"solar plant in mexico, mexico",commercial,north america,mexico,mexico,95.97,2027-12-24,state-owned enterprise,2025-09-05,72,water conservation,geopolitical risks,epc,medium,medium,"open tender for a commercial medium-scale project: metro system in mexico, mexico. requires advanced engineering."
tid-20352,"warehouse in chile, chile",healthcare,latin america,chile,chile,866.13,2027-05-27,government,2028-05-20,86,green building,geopolitical risks,open bid,high,large,"open tender for a healthcare large-scale project: water treatment plant in chile, chile. requires modular construction."
tid-20353,"stadium in new south wales, australia",infrastructure,australia,australia,new south wales,2422.57875,2027-01-20,private developer,2028-05-27,89,water conservation,supply chain delays,selective bid,high,mega,"open tender for a infrastructure mega-scale project: water treatment plant in new south wales, australia. requires smart city tech."
tid-20354,"water treatment plant in new south wales, australia",utilities,australia,australia,new south wales,40.32,2026-11-06,ngo,2029-05-12,90,water conservation,labor shortages,negotiated contract,medium,small,"open tender for a utilities small-scale project: metro system in new south wales, australia. requires smart city tech."
tid-20355,"bridge in germany, germany",commercial,europe,germany,germany,5.53,2025-10-30,public-private partnership,2028-01-23,20,green building,labor shortages,negotiated contract,high,small,"open tender for a commercial small-scale project: school in germany, germany. requires smart city tech."
tid-20356,"hospital in colombia, colombia",commercial,latin america,colombia,colombia,14.01,2026-08-07,ngo,2027-06-17,15,waste reduction,labor shortages,negotiated contract,high,small,"open tender for a commercial small-scale project: residential complex in colombia, colombia. requires advanced engineering."
tid-20357,"smart city in mexico, mexico",infrastructure,north america,mexico,mexico,735.84,2027-09-14,government,2030-01-01,58,community engagement,environmental concerns,negotiated contract,medium,large,"open tender for a infrastructure large-scale project: residential complex in mexico, mexico. requires modular construction."
tid-20358,"oil pipeline in japan, japan",infrastructure,asia-pacific,japan,japan,2180.9,2026-03-17,utility company,2026-07-29,25,green building,geopolitical risks,open bid,medium,mega,"open tender for a infrastructure mega-scale project: data center in japan, japan. requires smart city tech."
tid-20359,"water treatment plant in mexico, mexico",infrastructure,north america,mexico,mexico,101.62,2027-07-21,municipality,2026-07-15,76,waste reduction,regulatory changes,selective bid,high,medium,"open tender for a infrastructure medium-scale project: school in mexico, mexico. requires sustainable materials."
tid-20360,"solar plant in western australia, australia",industrial,australia,australia,western australia,39.18,2028-01-10,ngo,2027-11-08,30,water conservation,cost overruns,open bid,medium,small,"open tender for a industrial small-scale project: dam in western australia, australia. requires local labor."
tid-20361,"warehouse in são paulo, brazil",healthcare,latin america,brazil,são paulo,15.91,2027-05-12,international agency,2028-08-11,6,carbon neutrality,unknown,design-build,medium,small,"open tender for a healthcare small-scale project: power plant in são paulo, brazil. requires sustainable materials."
tid-20362,"university campus in morocco, morocco",energy,africa,morocco,morocco,20.11,2026-10-03,public-private partnership,2028-01-26,82,carbon neutrality,environmental concerns,open bid,low,small,"open tender for a energy small-scale project: metro system in morocco, morocco. requires local labor."
tid-20363,"warehouse in colombia, colombia",energy,latin america,colombia,colombia,2422.57875,2027-09-17,government,2027-10-12,37,unknown,regulatory changes,selective bid,low,mega,"open tender for a energy mega-scale project: highway in colombia, colombia. requires sustainable materials."
tid-20364,"water treatment plant in northern ireland, uk",industrial,europe,uk,northern ireland,10.85,2028-02-06,private developer,2027-04-06,75,unknown,geopolitical risks,selective bid,low,small,"open tender for a industrial small-scale project: water treatment plant in northern ireland, uk. requires smart city tech."
tid-20365,"hospital in sweden, sweden",infrastructure,europe,sweden,sweden,174.03,2027-04-24,corporate,2030-05-16,94,renewable energy,regulatory changes,negotiated contract,low,medium,"open tender for a infrastructure medium-scale project: power plant in sweden, sweden. requires smart city tech."
tid-20366,"smart city in queensland, australia",utilities,australia,australia,queensland,14.29,2028-05-11,state-owned enterprise,2030-01-18,7,waste reduction,environmental concerns,selective bid,high,small,"open tender for a utilities small-scale project: solar plant in queensland, australia. requires bim integration."
tid-20367,"warehouse in france, france",utilities,europe,france,france,2422.57875,2026-05-22,public-private partnership,2027-09-11,30,unknown,cost overruns,epc,medium,mega,"open tender for a utilities mega-scale project: residential complex in france, france. requires local labor."
tid-20368,"smart city in poland, poland",industrial,europe,poland,poland,25.2,2026-02-01,state-owned enterprise,2028-01-11,34,community engagement,cost overruns,selective bid,medium,small,"open tender for a industrial small-scale project: water treatment plant in poland, poland. requires bim integration."
tid-20369,"solar plant in new south wales, australia",energy,australia,australia,new south wales,2422.57875,2026-12-29,corporate,2028-02-01,19,waste reduction,labor shortages,negotiated contract,low,mega,"open tender for a energy mega-scale project: residential complex in new south wales, australia. requires advanced engineering."
tid-20370,"railway in ontario, canada",transportation,north america,canada,ontario,2422.57875,2027-12-12,utility company,2028-03-22,32,carbon neutrality,geopolitical risks,negotiated contract,high,mega,"open tender for a transportation mega-scale project: school in ontario, canada. requires modular construction."
tid-20371,"airport in japan, japan",energy,asia-pacific,japan,japan,75.62,2027-03-17,government,2028-11-03,81,carbon neutrality,cost overruns,epc,high,medium,"open tender for a energy medium-scale project: oil pipeline in japan, japan. requires sustainable materials."
tid-20372,"metro system in qatar, qatar",healthcare,middle east,qatar,qatar,47.72,2026-09-25,private developer,2026-04-15,76,water conservation,geopolitical risks,open bid,low,small,"open tender for a healthcare small-scale project: airport in qatar, qatar. requires modular construction."
tid-20373,"smart city in maharashtra, india",residential,asia-pacific,india,maharashtra,23.29,2025-10-18,public-private partnership,2025-12-24,64,renewable energy,supply chain delays,epc,high,small,"open tender for a residential small-scale project: hospital in maharashtra, india. requires modular construction."
tid-20374,"refinery in morocco, morocco",education,africa,morocco,morocco,14.08,2028-02-08,state-owned enterprise,2025-11-08,96,water conservation,environmental concerns,selective bid,low,small,"open tender for a education small-scale project: airport in morocco, morocco. requires bim integration."
tid-20375,"metro system in quebec, canada",healthcare,north america,canada,quebec,621.33,2025-09-03,municipality,2027-04-24,70,waste reduction,cost overruns,open bid,high,large,"open tender for a healthcare large-scale project: stadium in quebec, canada. requires sustainable materials."
tid-20376,"wind farm in mexico, mexico",industrial,north america,mexico,mexico,44.8,2028-02-26,municipality,2028-08-28,35,renewable energy,cost overruns,negotiated contract,medium,small,"open tender for a industrial small-scale project: refinery in mexico, mexico. requires local labor."
tid-20377,"school in victoria, australia",infrastructure,australia,australia,victoria,18.9,2025-12-18,utility company,2029-07-10,33,water conservation,environmental concerns,open bid,high,small,"open tender for a infrastructure small-scale project: university campus in victoria, australia. requires bim integration."
tid-20378,"stadium in kwazulu-natal, south africa",transportation,africa,south africa,kwazulu-natal,35.16,2026-08-10,municipality,2028-03-31,10,carbon neutrality,environmental concerns,open bid,high,small,"open tender for a transportation small-scale project: railway in kwazulu-natal, south africa. requires bim integration."
tid-20379,"school in oman, oman",commercial,middle east,oman,oman,10.32,2025-06-01,public-private partnership,2028-06-07,16,unknown,regulatory changes,open bid,low,small,"open tender for a commercial small-scale project: university campus in oman, oman. requires smart city tech."
tid-20380,"school in poland, poland",education,europe,poland,poland,866.72,2027-01-15,corporate,2028-02-05,20,renewable energy,unknown,epc,high,large,"open tender for a education large-scale project: warehouse in poland, poland. requires local labor."
tid-20381,"shopping mall in queensland, australia",industrial,australia,australia,queensland,24.18,2026-04-19,government,2029-10-20,70,renewable energy,geopolitical risks,negotiated contract,medium,small,"open tender for a industrial small-scale project: warehouse in queensland, australia. requires modular construction."
tid-20382,"hospital in argentina, argentina",residential,latin america,argentina,argentina,15.52,2026-01-12,international agency,2027-05-23,38,green building,environmental concerns,design-build,low,small,"open tender for a residential small-scale project: stadium in argentina, argentina. requires bim integration."
tid-20383,"water treatment plant in new south wales, australia",industrial,australia,australia,new south wales,2422.57875,2026-07-23,utility company,2026-02-03,43,waste reduction,cost overruns,design-build,low,mega,"open tender for a industrial mega-scale project: smart city in new south wales, australia. requires advanced engineering."
tid-20384,"smart city in singapore, singapore",commercial,asia-pacific,singapore,singapore,2422.57875,2027-02-25,utility company,2029-03-02,27,green building,unknown,selective bid,low,mega,"open tender for a commercial mega-scale project: warehouse in singapore, singapore. requires local labor."
tid-20385,"bridge in jiangsu, china",industrial,asia-pacific,china,jiangsu,33.9,2025-07-18,international agency,2027-05-07,49,renewable energy,regulatory changes,selective bid,medium,small,"open tender for a industrial small-scale project: hospital in jiangsu, china. requires advanced engineering."
tid-20386,"refinery in kenya, kenya",education,africa,kenya,kenya,1847.11,2025-09-20,government,2030-05-03,40,waste reduction,unknown,design-build,low,mega,"open tender for a education mega-scale project: hospital in kenya, kenya. requires advanced engineering."
tid-20387,"hospital in poland, poland",utilities,europe,poland,poland,139.0,2027-10-20,ngo,2028-09-21,16,green building,environmental concerns,negotiated contract,high,medium,"open tender for a utilities medium-scale project: solar plant in poland, poland. requires modular construction."
tid-20388,"power plant in saudi arabia, saudi arabia",residential,middle east,saudi arabia,saudi arabia,47.45,2027-03-30,state-owned enterprise,2026-08-02,12,unknown,environmental concerns,selective bid,high,small,"open tender for a residential small-scale project: wind farm in saudi arabia, saudi arabia. requires bim integration."
tid-20389,"oil pipeline in ontario, canada",utilities,north america,canada,ontario,199.03,2027-09-15,public-private partnership,2026-07-16,69,community engagement,labor shortages,negotiated contract,medium,medium,"open tender for a utilities medium-scale project: bridge in ontario, canada. requires advanced engineering."
tid-20390,"smart city in kwazulu-natal, south africa",infrastructure,africa,south africa,kwazulu-natal,164.48,2026-02-22,municipality,2029-01-10,36,water conservation,supply chain delays,design-build,low,medium,"open tender for a infrastructure medium-scale project: metro system in kwazulu-natal, south africa. requires local labor."
tid-20391,"shopping mall in minas gerais, brazil",industrial,latin america,brazil,minas gerais,49.9,2027-04-19,municipality,2027-01-16,38,community engagement,environmental concerns,negotiated contract,medium,small,"open tender for a industrial small-scale project: railway in minas gerais, brazil. requires local labor."
tid-20392,"stadium in uae, uae",utilities,middle east,uae,uae,996.93,2026-01-05,corporate,2029-11-07,60,community engagement,unknown,selective bid,high,large,"open tender for a utilities large-scale project: shopping mall in uae, uae. requires sustainable materials."
tid-20393,"warehouse in ontario, canada",infrastructure,north america,canada,ontario,862.59,2026-07-03,public-private partnership,2030-04-30,35,unknown,supply chain delays,design-build,low,large,"open tender for a infrastructure large-scale project: residential complex in ontario, canada. requires modular construction."
tid-20394,"highway in germany, germany",healthcare,europe,germany,germany,670.82,2026-10-28,private developer,2025-11-23,8,renewable energy,cost overruns,open bid,medium,large,"open tender for a healthcare large-scale project: shopping mall in germany, germany. requires modular construction."
tid-20395,"refinery in oman, oman",healthcare,middle east,oman,oman,870.79,2028-04-06,international agency,2027-06-27,96,renewable energy,geopolitical risks,open bid,medium,large,"open tender for a healthcare large-scale project: data center in oman, oman. requires advanced engineering."
tid-20396,"metro system in mexico, mexico",infrastructure,north america,mexico,mexico,98.98,2026-09-12,government,2026-01-11,40,waste reduction,unknown,selective bid,high,medium,"open tender for a infrastructure medium-scale project: high-rise building in mexico, mexico. requires sustainable materials."
tid-20397,"high-rise building in indonesia, indonesia",education,asia-pacific,indonesia,indonesia,1209.7,2025-10-22,government,2026-10-02,32,renewable energy,supply chain delays,negotiated contract,high,mega,"open tender for a education mega-scale project: dam in indonesia, indonesia. requires modular construction."
tid-20398,"power plant in delhi, india",utilities,asia-pacific,india,delhi,2422.57875,2026-06-08,government,2029-10-03,69,renewable energy,unknown,design-build,high,mega,"open tender for a utilities mega-scale project: smart city in delhi, india. requires sustainable materials."
tid-20399,"school in colombia, colombia",residential,latin america,colombia,colombia,606.47,2028-05-05,utility company,2027-10-20,38,renewable energy,labor shortages,epc,high,large,"open tender for a residential large-scale project: railway in colombia, colombia. requires modular construction."
tid-20400,"oil pipeline in alberta, canada",commercial,north america,canada,alberta,15.98,2028-01-09,municipality,2029-03-19,81,community engagement,cost overruns,open bid,high,small,"open tender for a commercial small-scale project: oil pipeline in alberta, canada. requires smart city tech."
tid-20401,"port in uae, uae",commercial,middle east,uae,uae,720.32,2026-09-26,public-private partnership,2026-04-02,83,water conservation,labor shortages,selective bid,medium,large,"open tender for a commercial large-scale project: airport in uae, uae. requires advanced engineering."
tid-20402,"shopping mall in victoria, australia",healthcare,australia,australia,victoria,751.71,2025-11-22,international agency,2026-03-18,25,unknown,regulatory changes,selective bid,low,large,"open tender for a healthcare large-scale project: bridge in victoria, australia. requires advanced engineering."
tid-20403,"wind farm in argentina, argentina",energy,latin america,argentina,argentina,2422.57875,2027-08-31,international agency,2026-03-20,45,waste reduction,supply chain delays,negotiated contract,low,mega,"open tender for a energy mega-scale project: railway in argentina, argentina. requires smart city tech."
tid-20404,"oil pipeline in germany, germany",utilities,europe,germany,germany,508.24,2028-04-09,utility company,2027-11-16,35,water conservation,labor shortages,epc,high,large,"open tender for a utilities large-scale project: warehouse in germany, germany. requires modular construction."
tid-20405,"water treatment plant in germany, germany",infrastructure,europe,germany,germany,20.0,2028-05-06,municipality,2029-10-20,95,unknown,supply chain delays,epc,high,small,"open tender for a infrastructure small-scale project: smart city in germany, germany. requires smart city tech."
tid-20406,"port in mexico, mexico",utilities,north america,mexico,mexico,7.68,2026-11-10,private developer,2026-09-11,67,carbon neutrality,unknown,epc,high,small,"open tender for a utilities small-scale project: solar plant in mexico, mexico. requires advanced engineering."
tid-20407,"university campus in minas gerais, brazil",residential,latin america,brazil,minas gerais,143.94,2026-02-12,corporate,2028-11-07,51,carbon neutrality,geopolitical risks,selective bid,medium,medium,"open tender for a residential medium-scale project: smart city in minas gerais, brazil. requires advanced engineering."
tid-20408,"high-rise building in japan, japan",infrastructure,asia-pacific,japan,japan,2422.57875,2026-10-01,utility company,2030-04-01,15,community engagement,supply chain delays,open bid,high,mega,"open tender for a infrastructure mega-scale project: smart city in japan, japan. requires modular construction."
tid-20409,"port in minas gerais, brazil",energy,latin america,brazil,minas gerais,24.63,2028-04-20,international agency,2027-09-18,78,carbon neutrality,unknown,negotiated contract,low,small,"open tender for a energy small-scale project: warehouse in minas gerais, brazil. requires modular construction."
tid-20410,"wind farm in peru, peru",healthcare,latin america,peru,peru,53.84,2026-10-10,state-owned enterprise,2025-08-08,15,community engagement,regulatory changes,design-build,high,medium,"open tender for a healthcare medium-scale project: hospital in peru, peru. requires modular construction."
tid-20411,"smart city in british columbia, canada",transportation,north america,canada,british columbia,77.89,2025-10-21,state-owned enterprise,2027-07-31,68,renewable energy,cost overruns,negotiated contract,high,medium,"open tender for a transportation medium-scale project: metro system in british columbia, canada. requires local labor."
tid-20412,"wind farm in uae, uae",utilities,middle east,uae,uae,218.39,2026-01-28,international agency,2027-12-02,49,green building,labor shortages,epc,high,large,"open tender for a utilities large-scale project: shopping mall in uae, uae. requires modular construction."
tid-20413,"oil pipeline in mexico, mexico",energy,north america,mexico,mexico,181.74,2027-07-02,international agency,2026-12-07,72,community engagement,labor shortages,epc,low,medium,"open tender for a energy medium-scale project: high-rise building in mexico, mexico. requires modular construction."
tid-20414,"data center in mexico, mexico",education,north america,mexico,mexico,460.59,2026-02-19,government,2025-07-20,63,unknown,environmental concerns,epc,low,large,"open tender for a education large-scale project: stadium in mexico, mexico. requires modular construction."
tid-20415,"oil pipeline in england, uk",residential,europe,uk,england,2422.57875,2027-07-21,state-owned enterprise,2025-09-16,7,green building,unknown,negotiated contract,low,mega,"open tender for a residential mega-scale project: data center in england, uk. requires smart city tech."
tid-20416,"oil pipeline in south korea, south korea",healthcare,asia-pacific,south korea,south korea,30.88,2027-10-08,utility company,2028-04-16,79,renewable energy,unknown,negotiated contract,medium,small,"open tender for a healthcare small-scale project: hospital in south korea, south korea. requires advanced engineering."
tid-20417,"oil pipeline in france, france",transportation,europe,france,france,985.79,2027-01-12,public-private partnership,2028-09-23,66,carbon neutrality,supply chain delays,epc,medium,large,"open tender for a transportation large-scale project: railway in france, france. requires sustainable materials."
tid-20418,"railway in jiangsu, china",utilities,asia-pacific,china,jiangsu,23.55,2027-10-27,municipality,2028-09-18,33,renewable energy,labor shortages,negotiated contract,low,small,"open tender for a utilities small-scale project: highway in jiangsu, china. requires modular construction."
tid-20419,"high-rise building in mexico, mexico",commercial,north america,mexico,mexico,130.11,2025-08-23,ngo,2029-11-17,22,carbon neutrality,regulatory changes,open bid,high,medium,"open tender for a commercial medium-scale project: school in mexico, mexico. requires modular construction."
tid-20420,"solar plant in illinois, usa",energy,north america,usa,illinois,169.35,2025-07-21,corporate,2027-07-17,88,carbon neutrality,cost overruns,open bid,high,medium,"open tender for a energy medium-scale project: port in illinois, usa. requires local labor."
tid-20421,"shopping mall in quebec, canada",education,north america,canada,quebec,410.09,2027-04-20,international agency,2028-11-16,74,green building,cost overruns,selective bid,high,large,"open tender for a education large-scale project: oil pipeline in quebec, canada. requires modular construction."
tid-20422,"university campus in new york, usa",utilities,north america,usa,new york,2422.57875,2027-02-01,corporate,2030-05-16,58,renewable energy,regulatory changes,design-build,medium,mega,"open tender for a utilities mega-scale project: dam in new york, usa. requires modular construction."
tid-20423,"railway in singapore, singapore",commercial,asia-pacific,singapore,singapore,598.85,2027-01-02,ngo,2027-12-08,89,community engagement,regulatory changes,negotiated contract,low,large,"open tender for a commercial large-scale project: airport in singapore, singapore. requires sustainable materials."
tid-20424,"water treatment plant in chile, chile",energy,latin america,chile,chile,1072.4,2028-03-16,ngo,2029-12-05,67,community engagement,cost overruns,open bid,medium,mega,"open tender for a energy mega-scale project: smart city in chile, chile. requires modular construction."
tid-20425,"highway in japan, japan",commercial,asia-pacific,japan,japan,18.7,2026-05-14,international agency,2026-05-17,32,waste reduction,unknown,negotiated contract,low,small,"open tender for a commercial small-scale project: data center in japan, japan. requires bim integration."
tid-20426,"shopping mall in saudi arabia, saudi arabia",education,middle east,saudi arabia,saudi arabia,1001.51,2028-05-26,government,2026-12-06,10,unknown,regulatory changes,design-build,high,mega,"open tender for a education mega-scale project: port in saudi arabia, saudi arabia. requires smart city tech."
tid-20427,"dam in qatar, qatar",industrial,middle east,qatar,qatar,43.98,2027-03-21,private developer,2026-12-29,79,waste reduction,geopolitical risks,negotiated contract,low,small,"open tender for a industrial small-scale project: residential complex in qatar, qatar. requires sustainable materials."
tid-20428,"residential complex in singapore, singapore",healthcare,asia-pacific,singapore,singapore,45.93,2027-01-23,utility company,2028-02-28,61,green building,geopolitical risks,selective bid,high,small,"open tender for a healthcare small-scale project: school in singapore, singapore. requires smart city tech."
tid-20429,"smart city in egypt, egypt",utilities,africa,egypt,egypt,28.58,2025-06-20,private developer,2025-09-14,93,unknown,supply chain delays,design-build,low,small,"open tender for a utilities small-scale project: port in egypt, egypt. requires modular construction."
tid-20430,"refinery in algeria, algeria",transportation,africa,algeria,algeria,44.68,2025-06-29,ngo,2029-02-01,85,carbon neutrality,unknown,epc,medium,small,"open tender for a transportation small-scale project: university campus in algeria, algeria. requires modular construction."
tid-20431,"shopping mall in sweden, sweden",healthcare,europe,sweden,sweden,153.14,2028-03-29,government,2027-04-03,59,carbon neutrality,supply chain delays,design-build,medium,medium,"open tender for a healthcare medium-scale project: railway in sweden, sweden. requires bim integration."
tid-20432,"metro system in new south wales, australia",residential,australia,australia,new south wales,986.02,2026-03-24,international agency,2027-03-10,48,green building,cost overruns,negotiated contract,low,large,"open tender for a residential large-scale project: residential complex in new south wales, australia. requires local labor."
tid-20433,"power plant in saudi arabia, saudi arabia",healthcare,middle east,saudi arabia,saudi arabia,107.66,2027-07-27,international agency,2027-11-14,31,waste reduction,environmental concerns,epc,medium,medium,"open tender for a healthcare medium-scale project: metro system in saudi arabia, saudi arabia. requires bim integration."
tid-20434,"high-rise building in singapore, singapore",residential,asia-pacific,singapore,singapore,2422.57875,2027-07-17,public-private partnership,2029-04-02,37,water conservation,environmental concerns,selective bid,medium,mega,"open tender for a residential mega-scale project: highway in singapore, singapore. requires modular construction."
tid-20435,"bridge in nigeria, nigeria",infrastructure,africa,nigeria,nigeria,380.48,2026-09-29,state-owned enterprise,2028-04-22,73,community engagement,labor shortages,design-build,high,large,"open tender for a infrastructure large-scale project: metro system in nigeria, nigeria. requires modular construction."
tid-20436,"university campus in saudi arabia, saudi arabia",utilities,middle east,saudi arabia,saudi arabia,2422.57875,2027-12-20,public-private partnership,2027-07-09,77,water conservation,unknown,open bid,high,mega,"open tender for a utilities mega-scale project: refinery in saudi arabia, saudi arabia. requires bim integration."
tid-20437,"school in western cape, south africa",education,africa,south africa,western cape,480.22,2025-07-30,municipality,2025-11-26,76,waste reduction,supply chain delays,negotiated contract,high,large,"open tender for a education large-scale project: oil pipeline in western cape, south africa. requires local labor."
tid-20438,"residential complex in british columbia, canada",residential,north america,canada,british columbia,188.84,2026-04-03,private developer,2026-07-13,7,waste reduction,geopolitical risks,design-build,high,medium,"open tender for a residential medium-scale project: school in british columbia, canada. requires modular construction."
tid-20439,"metro system in minas gerais, brazil",industrial,latin america,brazil,minas gerais,35.43,2027-11-25,international agency,2027-07-02,31,water conservation,environmental concerns,epc,high,small,"open tender for a industrial small-scale project: university campus in minas gerais, brazil. requires local labor."
tid-20440,"power plant in beijing, china",commercial,asia-pacific,china,beijing,141.22,2027-10-16,ngo,2029-05-09,36,green building,cost overruns,selective bid,high,medium,"open tender for a commercial medium-scale project: bridge in beijing, china. requires bim integration."
tid-20441,"stadium in sweden, sweden",infrastructure,europe,sweden,sweden,104.43,2026-04-25,public-private partnership,2026-09-15,35,renewable energy,supply chain delays,epc,low,medium,"open tender for a infrastructure medium-scale project: residential complex in sweden, sweden. requires advanced engineering."
tid-20442,"port in argentina, argentina",healthcare,latin america,argentina,argentina,131.38,2028-01-02,government,2026-03-25,92,waste reduction,unknown,open bid,high,medium,"open tender for a healthcare medium-scale project: stadium in argentina, argentina. requires advanced engineering."
tid-20443,"school in italy, italy",infrastructure,europe,italy,italy,438.95,2026-01-30,utility company,2028-03-11,25,green building,geopolitical risks,epc,medium,large,"open tender for a infrastructure large-scale project: shopping mall in italy, italy. requires sustainable materials."
tid-20444,"metro system in italy, italy",education,europe,italy,italy,2422.57875,2026-01-31,public-private partnership,2027-11-25,82,waste reduction,supply chain delays,open bid,medium,mega,"open tender for a education mega-scale project: wind farm in italy, italy. requires sustainable materials."
tid-20445,"railway in new south wales, australia",commercial,australia,australia,new south wales,134.38,2026-04-17,private developer,2027-12-15,28,green building,supply chain delays,selective bid,low,medium,"open tender for a commercial medium-scale project: power plant in new south wales, australia. requires bim integration."
tid-20446,"hospital in washington, usa",infrastructure,north america,usa,washington,2422.57875,2027-03-18,private developer,2029-06-17,29,renewable energy,geopolitical risks,negotiated contract,high,mega,"open tender for a infrastructure mega-scale project: metro system in washington, usa. requires modular construction."
