win_id,company,project_name,sector,region,country,subregion,value_usd_m,award_date,client,project_duration_months,esg_compliance,contract_type,completion_status,project_scale,description
win-20385,clark construction,"power plant in rio de janeiro, brazil",utilities,latin america,brazil,rio de janeiro,460.56,2025-04-07,municipality,35,green building,fixed-price,cancelled,medium,"clark construction secured a utilities medium-scale contract to build a university campus in rio de janeiro, brazil. project emphasizes safety."
win-20386,thiess,"oil pipeline in kuwait, kuwait",education,middle east,kuwait,kuwait,6024.6849999999995,2023-08-17,utility company,27,water conservation,time and materials,on hold,mega,"thiess secured a education mega-scale contract to build a school in kuwait, kuwait. project emphasizes community impact."
win-20387,jacobs,"shopping mall in gauteng, south africa",residential,africa,south africa,gauteng,840.03,2020-11-21,private developer,6,unknown,fixed-price,cancelled,large,"jacobs secured a residential large-scale contract to build a university campus in gauteng, south africa. project emphasizes digitalization."
win-20388,lendlease,"data center in chile, chile",infrastructure,latin america,chile,chile,6024.6849999999995,2024-07-21,government,74,renewable energy,unit price,delayed,mega,"lendlease secured a infrastructure mega-scale contract to build a shopping mall in chile, chile. project emphasizes innovation."
win-20389,lendlease,"water treatment plant in japan, japan",infrastructure,asia-pacific,japan,japan,34.81,2021-02-21,private developer,69,carbon neutrality,time and materials,on hold,small,"lendlease secured a infrastructure small-scale contract to build a residential complex in japan, japan. project emphasizes digitalization."
win-20390,lendlease,"solar plant in kenya, kenya",healthcare,africa,kenya,kenya,295.28,2022-05-09,ngo,19,waste reduction,lump sum,cancelled,medium,"lendlease secured a healthcare medium-scale contract to build a warehouse in kenya, kenya. project emphasizes innovation."
win-20391,gilbane,"water treatment plant in venezuela, venezuela",healthcare,latin america,venezuela,venezuela,90.08,2023-04-17,state-owned enterprise,79,waste reduction,unit price,on track,small,"gilbane secured a healthcare small-scale contract to build a oil pipeline in venezuela, venezuela. project emphasizes digitalization."
win-20392,hyundai e&c,"railway in uae, uae",transportation,middle east,uae,uae,57.01,2020-10-17,ngo,62,water conservation,cost-plus,cancelled,small,"hyundai e&c secured a transportation small-scale contract to build a solar plant in uae, uae. project emphasizes community impact."
win-20393,thiess,"warehouse in venezuela, venezuela",transportation,latin america,venezuela,venezuela,526.13,2023-10-27,utility company,82,carbon neutrality,lump sum,delayed,large,"thiess secured a transportation large-scale contract to build a school in venezuela, venezuela. project emphasizes sustainability."
win-20394,bechtel,"high-rise building in kenya, kenya",education,africa,kenya,kenya,1613.21,2022-07-24,corporate,24,water conservation,unit price,delayed,large,"bechtel secured a education large-scale contract to build a railway in kenya, kenya. project emphasizes community impact."
win-20395,samsung c&t,"warehouse in uae, uae",education,middle east,uae,uae,4774.6,2021-06-01,private developer,13,waste reduction,lump sum,completed,mega,"samsung c&t secured a education mega-scale contract to build a airport in uae, uae. project emphasizes community impact."
win-20396,vinci,"railway in mexico, mexico",utilities,north america,mexico,mexico,492.12,2024-09-07,private developer,22,water conservation,cost-plus,on track,medium,"vinci secured a utilities medium-scale contract to build a port in mexico, mexico. project emphasizes digitalization."
win-20397,clark construction,"shopping mall in kenya, kenya",utilities,africa,kenya,kenya,20.82,2025-03-15,public-private partnership,31,unknown,cost-plus,completed,small,"clark construction secured a utilities small-scale contract to build a hospital in kenya, kenya. project emphasizes community impact."
win-20398,multiplex,"high-rise building in argentina, argentina",utilities,latin america,argentina,argentina,5466.95,2022-04-02,ngo,62,green building,time and materials,cancelled,mega,"multiplex secured a utilities mega-scale contract to build a port in argentina, argentina. project emphasizes community impact."
win-20399,snc-lavalin,"smart city in south korea, south korea",infrastructure,asia-pacific,south korea,south korea,833.28,2025-02-04,private developer,26,water conservation,fixed-price,cancelled,large,"snc-lavalin secured a infrastructure large-scale contract to build a port in south korea, south korea. project emphasizes community impact."
win-20400,pcl construction,"data center in são paulo, brazil",residential,latin america,brazil,são paulo,78.04,2022-09-14,ngo,30,water conservation,time and materials,on hold,small,"pcl construction secured a residential small-scale contract to build a railway in são paulo, brazil. project emphasizes community impact."
win-20401,acciona,"refinery in saudi arabia, saudi arabia",energy,middle east,saudi arabia,saudi arabia,374.12,2023-06-28,utility company,28,community engagement,fixed-price,on hold,medium,"acciona secured a energy medium-scale contract to build a high-rise building in saudi arabia, saudi arabia. project emphasizes innovation."
win-20402,vinci,"data center in colombia, colombia",education,latin america,colombia,colombia,215.07,2023-03-31,municipality,6,community engagement,cost-plus,completed,medium,"vinci secured a education medium-scale contract to build a high-rise building in colombia, colombia. project emphasizes community impact."
win-20403,snc-lavalin,"port in italy, italy",infrastructure,europe,italy,italy,489.74,2021-08-10,state-owned enterprise,46,water conservation,lump sum,completed,medium,"snc-lavalin secured a infrastructure medium-scale contract to build a metro system in italy, italy. project emphasizes safety."
win-20404,skanska,"smart city in malaysia, malaysia",industrial,asia-pacific,malaysia,malaysia,413.57,2024-11-30,government,72,community engagement,lump sum,completed,medium,"skanska secured a industrial medium-scale contract to build a bridge in malaysia, malaysia. project emphasizes safety."
win-20405,clark construction,"residential complex in nigeria, nigeria",residential,africa,nigeria,nigeria,30.83,2023-06-19,private developer,54,waste reduction,unit price,cancelled,small,"clark construction secured a residential small-scale contract to build a bridge in nigeria, nigeria. project emphasizes safety."
win-20406,china state construction,"school in new south wales, australia",transportation,asia-pacific,australia,new south wales,2591.05,2020-10-03,private developer,52,carbon neutrality,cost-plus,completed,mega,"china state construction secured a transportation mega-scale contract to build a dam in new south wales, australia. project emphasizes sustainability."
win-20407,aecom,"water treatment plant in japan, japan",education,asia-pacific,japan,japan,1121.82,2020-08-15,international agency,32,community engagement,cost-plus,cancelled,large,"aecom secured a education large-scale contract to build a residential complex in japan, japan. project emphasizes safety."
win-20408,fluor,"shopping mall in texas, usa",infrastructure,north america,usa,texas,6024.6849999999995,2022-04-03,government,16,waste reduction,fixed-price,completed,mega,"fluor secured a infrastructure mega-scale contract to build a school in texas, usa. project emphasizes sustainability."
win-20409,vinci,"airport in western cape, south africa",industrial,africa,south africa,western cape,476.8,2022-12-23,public-private partnership,65,water conservation,time and materials,on hold,medium,"vinci secured a industrial medium-scale contract to build a school in western cape, south africa. project emphasizes innovation."
win-20410,mccarthy,"bridge in mexico, mexico",utilities,north america,mexico,mexico,6024.6849999999995,2025-03-17,municipality,35,waste reduction,unit price,on track,mega,"mccarthy secured a utilities mega-scale contract to build a water treatment plant in mexico, mexico. project emphasizes digitalization."
win-20411,bechtel,"port in argentina, argentina",healthcare,latin america,argentina,argentina,404.9,2021-09-25,public-private partnership,49,water conservation,unit price,delayed,medium,"bechtel secured a healthcare medium-scale contract to build a data center in argentina, argentina. project emphasizes digitalization."
win-20412,bouygues,"railway in new south wales, australia",residential,australia,australia,new south wales,85.54,2023-10-16,public-private partnership,31,unknown,cost-plus,completed,small,"bouygues secured a residential small-scale contract to build a warehouse in new south wales, australia. project emphasizes digitalization."
win-20413,obayashi corporation,"oil pipeline in oman, oman",commercial,middle east,oman,oman,1852.13,2020-07-24,municipality,83,carbon neutrality,time and materials,on track,large,"obayashi corporation secured a commercial large-scale contract to build a university campus in oman, oman. project emphasizes safety."
win-20414,saipem,"school in kenya, kenya",industrial,africa,kenya,kenya,301.72,2024-05-09,utility company,17,waste reduction,time and materials,completed,medium,"saipem secured a industrial medium-scale contract to build a solar plant in kenya, kenya. project emphasizes innovation."
win-20415,vinci,"high-rise building in morocco, morocco",transportation,africa,morocco,morocco,2509.54,2022-07-21,international agency,21,carbon neutrality,cost-plus,on hold,mega,"vinci secured a transportation mega-scale contract to build a oil pipeline in morocco, morocco. project emphasizes innovation."
win-20416,turner construction,"residential complex in mexico, mexico",residential,north america,mexico,mexico,197.04,2021-06-29,public-private partnership,13,community engagement,unit price,on track,medium,"turner construction secured a residential medium-scale contract to build a solar plant in mexico, mexico. project emphasizes innovation."
win-20417,acciona,"railway in qatar, qatar",utilities,middle east,qatar,qatar,6024.6849999999995,2023-03-09,ngo,61,waste reduction,cost-plus,delayed,mega,"acciona secured a utilities mega-scale contract to build a water treatment plant in qatar, qatar. project emphasizes sustainability."
win-20418,aecom,"data center in queensland, australia",education,australia,australia,queensland,63.39,2022-05-05,municipality,41,community engagement,lump sum,on track,small,"aecom secured a education small-scale contract to build a solar plant in queensland, australia. project emphasizes safety."
win-20419,laing o’rourke,"wind farm in ontario, canada",transportation,north america,canada,ontario,505.13,2024-04-20,municipality,32,carbon neutrality,cost-plus,completed,large,"laing o’rourke secured a transportation large-scale contract to build a bridge in ontario, canada. project emphasizes sustainability."
win-20420,bouygues,"dam in new south wales, australia",education,australia,australia,new south wales,1049.85,2020-08-28,ngo,50,renewable energy,lump sum,cancelled,large,"bouygues secured a education large-scale contract to build a metro system in new south wales, australia. project emphasizes innovation."
win-20421,saipem,"port in são paulo, brazil",energy,latin america,brazil,são paulo,5489.06,2021-03-18,ngo,50,renewable energy,lump sum,delayed,mega,"saipem secured a energy mega-scale contract to build a shopping mall in são paulo, brazil. project emphasizes innovation."
win-20422,mace group,"water treatment plant in kenya, kenya",education,africa,kenya,kenya,6024.6849999999995,2023-09-13,state-owned enterprise,78,waste reduction,cost-plus,delayed,mega,"mace group secured a education mega-scale contract to build a railway in kenya, kenya. project emphasizes community impact."
win-20423,whiting-turner,"dam in british columbia, canada",healthcare,north america,canada,british columbia,219.66,2024-06-11,private developer,8,green building,unit price,delayed,medium,"whiting-turner secured a healthcare medium-scale contract to build a port in british columbia, canada. project emphasizes sustainability."
win-20424,fluor,"high-rise building in chile, chile",infrastructure,latin america,chile,chile,461.76,2021-09-07,municipality,33,green building,fixed-price,on hold,medium,"fluor secured a infrastructure medium-scale contract to build a refinery in chile, chile. project emphasizes sustainability."
win-20425,leighton asia,"highway in new south wales, australia",residential,asia-pacific,australia,new south wales,54.72,2021-06-26,municipality,56,unknown,fixed-price,on hold,small,"leighton asia secured a residential small-scale contract to build a bridge in new south wales, australia. project emphasizes sustainability."
win-20426,kiewit,"airport in western cape, south africa",energy,africa,south africa,western cape,6024.6849999999995,2023-11-12,ngo,35,green building,fixed-price,completed,mega,"kiewit secured a energy mega-scale contract to build a solar plant in western cape, south africa. project emphasizes safety."
win-20427,china state construction,"university campus in western australia, australia",residential,australia,australia,western australia,3769.47,2021-04-02,government,29,community engagement,fixed-price,on track,mega,"china state construction secured a residential mega-scale contract to build a shopping mall in western australia, australia. project emphasizes digitalization."
win-20428,ferrovial,"wind farm in south korea, south korea",transportation,asia-pacific,south korea,south korea,357.41,2025-05-19,state-owned enterprise,26,renewable energy,lump sum,completed,medium,"ferrovial secured a transportation medium-scale contract to build a highway in south korea, south korea. project emphasizes sustainability."
win-20429,laing o’rourke,"residential complex in new york, usa",utilities,north america,usa,new york,377.48,2024-04-24,international agency,45,unknown,lump sum,delayed,medium,"laing o’rourke secured a utilities medium-scale contract to build a dam in new york, usa. project emphasizes community impact."
win-20430,hochtief,"oil pipeline in venezuela, venezuela",infrastructure,latin america,venezuela,venezuela,489.53,2023-07-15,international agency,67,unknown,cost-plus,delayed,medium,"hochtief secured a infrastructure medium-scale contract to build a railway in venezuela, venezuela. project emphasizes safety."
win-20431,strabag,"metro system in quebec, canada",commercial,north america,canada,quebec,56.35,2022-09-15,private developer,35,unknown,lump sum,delayed,small,"strabag secured a commercial small-scale contract to build a university campus in quebec, canada. project emphasizes digitalization."
win-20432,balfour beatty,"bridge in france, france",industrial,europe,france,france,548.97,2025-02-12,corporate,40,renewable energy,unit price,completed,large,"balfour beatty secured a industrial large-scale contract to build a port in france, france. project emphasizes community impact."
win-20433,mortenson construction,"smart city in rio de janeiro, brazil",industrial,latin america,brazil,rio de janeiro,373.06,2024-06-29,international agency,37,community engagement,fixed-price,cancelled,medium,"mortenson construction secured a industrial medium-scale contract to build a railway in rio de janeiro, brazil. project emphasizes sustainability."
win-20434,acciona,"refinery in oman, oman",infrastructure,middle east,oman,oman,55.82,2021-09-27,government,11,renewable energy,cost-plus,on hold,small,"acciona secured a infrastructure small-scale contract to build a refinery in oman, oman. project emphasizes innovation."
win-20435,balfour beatty,"school in mexico, mexico",residential,north america,mexico,mexico,1016.44,2023-08-11,private developer,25,waste reduction,fixed-price,delayed,large,"balfour beatty secured a residential large-scale contract to build a bridge in mexico, mexico. project emphasizes community impact."
win-20436,hyundai e&c,"metro system in germany, germany",residential,europe,germany,germany,183.05,2022-09-30,private developer,35,carbon neutrality,fixed-price,completed,medium,"hyundai e&c secured a residential medium-scale contract to build a wind farm in germany, germany. project emphasizes sustainability."
win-20437,larsen & toubro,"smart city in south korea, south korea",healthcare,asia-pacific,south korea,south korea,1459.4,2024-02-21,corporate,43,community engagement,unit price,delayed,large,"larsen & toubro secured a healthcare large-scale contract to build a residential complex in south korea, south korea. project emphasizes innovation."
win-20438,strabag,"refinery in france, france",utilities,europe,france,france,1514.55,2024-12-13,corporate,55,community engagement,time and materials,on track,large,"strabag secured a utilities large-scale contract to build a residential complex in france, france. project emphasizes innovation."
win-20439,aecom,"residential complex in british columbia, canada",commercial,north america,canada,british columbia,6024.6849999999995,2023-10-27,public-private partnership,17,carbon neutrality,time and materials,completed,mega,"aecom secured a commercial mega-scale contract to build a dam in british columbia, canada. project emphasizes safety."
win-20440,vinci,"power plant in qatar, qatar",residential,middle east,qatar,qatar,237.86,2023-11-08,municipality,68,carbon neutrality,lump sum,on track,medium,"vinci secured a residential medium-scale contract to build a dam in qatar, qatar. project emphasizes sustainability."
win-20441,lendlease,"dam in mexico, mexico",education,north america,mexico,mexico,46.69,2023-07-09,private developer,60,unknown,time and materials,cancelled,small,"lendlease secured a education small-scale contract to build a highway in mexico, mexico. project emphasizes digitalization."
win-20442,larsen & toubro,"refinery in malaysia, malaysia",residential,asia-pacific,malaysia,malaysia,961.63,2021-02-12,international agency,75,unknown,fixed-price,delayed,large,"larsen & toubro secured a residential large-scale contract to build a water treatment plant in malaysia, malaysia. project emphasizes digitalization."
win-20443,mccarthy,"stadium in oman, oman",infrastructure,middle east,oman,oman,12.84,2023-03-31,municipality,55,water conservation,cost-plus,delayed,small,"mccarthy secured a infrastructure small-scale contract to build a school in oman, oman. project emphasizes community impact."
win-20444,leighton asia,"metro system in kenya, kenya",energy,africa,kenya,kenya,4799.78,2021-03-25,ngo,15,community engagement,cost-plus,on track,mega,"leighton asia secured a energy mega-scale contract to build a oil pipeline in kenya, kenya. project emphasizes safety."
win-20445,jacobs,"metro system in british columbia, canada",industrial,north america,canada,british columbia,1776.0,2023-08-25,private developer,35,unknown,time and materials,cancelled,large,"jacobs secured a industrial large-scale contract to build a power plant in british columbia, canada. project emphasizes safety."
win-20446,turner construction,"oil pipeline in victoria, australia",education,australia,australia,victoria,1019.46,2025-02-02,ngo,20,unknown,unit price,on track,large,"turner construction secured a education large-scale contract to build a power plant in victoria, australia. project emphasizes sustainability."
win-20447,leighton asia,"school in new south wales, australia",education,australia,australia,new south wales,6024.6849999999995,2021-04-29,state-owned enterprise,45,renewable energy,lump sum,delayed,mega,"leighton asia secured a education mega-scale contract to build a airport in new south wales, australia. project emphasizes digitalization."
win-20448,john holland,"high-rise building in nigeria, nigeria",infrastructure,africa,nigeria,nigeria,3803.69,2022-11-27,government,84,water conservation,unit price,cancelled,mega,"john holland secured a infrastructure mega-scale contract to build a highway in nigeria, nigeria. project emphasizes innovation."
win-20449,bam group,"high-rise building in ontario, canada",industrial,north america,canada,ontario,726.46,2020-09-14,government,61,waste reduction,time and materials,delayed,large,"bam group secured a industrial large-scale contract to build a water treatment plant in ontario, canada. project emphasizes safety."
win-20450,gilbane,"wind farm in qatar, qatar",transportation,middle east,qatar,qatar,33.93,2023-01-01,government,53,unknown,lump sum,on track,small,"gilbane secured a transportation small-scale contract to build a stadium in qatar, qatar. project emphasizes sustainability."
win-20451,bam group,"high-rise building in oman, oman",education,middle east,oman,oman,447.46,2021-09-23,international agency,81,renewable energy,time and materials,delayed,medium,"bam group secured a education medium-scale contract to build a dam in oman, oman. project emphasizes safety."
win-20452,shimizu corporation,"water treatment plant in argentina, argentina",education,latin america,argentina,argentina,59.01,2023-11-17,corporate,33,carbon neutrality,fixed-price,on track,small,"shimizu corporation secured a education small-scale contract to build a residential complex in argentina, argentina. project emphasizes community impact."
win-20453,dragados,"warehouse in minas gerais, brazil",healthcare,latin america,brazil,minas gerais,703.3,2024-10-17,corporate,10,carbon neutrality,fixed-price,on hold,large,"dragados secured a healthcare large-scale contract to build a data center in minas gerais, brazil. project emphasizes digitalization."
win-20454,whiting-turner,"stadium in qatar, qatar",education,middle east,qatar,qatar,6024.6849999999995,2021-04-15,public-private partnership,16,water conservation,time and materials,on hold,mega,"whiting-turner secured a education mega-scale contract to build a school in qatar, qatar. project emphasizes safety."
win-20455,hyundai e&c,"bridge in queensland, australia",transportation,australia,australia,queensland,4614.82,2023-03-24,municipality,80,waste reduction,time and materials,on track,mega,"hyundai e&c secured a transportation mega-scale contract to build a stadium in queensland, australia. project emphasizes sustainability."
win-20456,ferrovial,"water treatment plant in kuwait, kuwait",residential,middle east,kuwait,kuwait,448.89,2024-05-30,utility company,24,unknown,cost-plus,completed,medium,"ferrovial secured a residential medium-scale contract to build a railway in kuwait, kuwait. project emphasizes sustainability."
win-20457,aecom,"highway in western australia, australia",healthcare,australia,australia,western australia,6024.6849999999995,2022-01-31,international agency,40,community engagement,fixed-price,on track,mega,"aecom secured a healthcare mega-scale contract to build a port in western australia, australia. project emphasizes safety."
win-20458,lendlease,"metro system in qatar, qatar",industrial,middle east,qatar,qatar,243.77,2021-04-29,international agency,62,carbon neutrality,time and materials,on track,medium,"lendlease secured a industrial medium-scale contract to build a university campus in qatar, qatar. project emphasizes safety."
win-20459,shimizu corporation,"airport in saudi arabia, saudi arabia",utilities,middle east,saudi arabia,saudi arabia,1510.43,2021-06-04,utility company,65,community engagement,lump sum,cancelled,large,"shimizu corporation secured a utilities large-scale contract to build a high-rise building in saudi arabia, saudi arabia. project emphasizes innovation."
win-20460,bechtel,"refinery in algeria, algeria",industrial,africa,algeria,algeria,1421.01,2021-03-25,corporate,54,renewable energy,cost-plus,completed,large,"bechtel secured a industrial large-scale contract to build a highway in algeria, algeria. project emphasizes safety."
win-20461,kiewit,"highway in italy, italy",utilities,europe,italy,italy,5531.72,2025-01-14,public-private partnership,28,green building,time and materials,cancelled,mega,"kiewit secured a utilities mega-scale contract to build a power plant in italy, italy. project emphasizes safety."
win-20462,saipem,"residential complex in jiangsu, china",transportation,asia-pacific,china,jiangsu,647.79,2022-08-22,government,64,green building,fixed-price,completed,large,"saipem secured a transportation large-scale contract to build a port in jiangsu, china. project emphasizes sustainability."
win-20463,mccarthy,"shopping mall in washington, usa",residential,north america,usa,washington,35.5,2024-10-18,utility company,80,waste reduction,fixed-price,on hold,small,"mccarthy secured a residential small-scale contract to build a shopping mall in washington, usa. project emphasizes innovation."
win-20464,shimizu corporation,"refinery in saudi arabia, saudi arabia",utilities,middle east,saudi arabia,saudi arabia,1498.07,2025-03-05,state-owned enterprise,11,green building,time and materials,on hold,large,"shimizu corporation secured a utilities large-scale contract to build a high-rise building in saudi arabia, saudi arabia. project emphasizes sustainability."
win-20465,leighton asia,"port in egypt, egypt",transportation,africa,egypt,egypt,3652.28,2021-05-06,international agency,10,community engagement,fixed-price,on track,mega,"leighton asia secured a transportation mega-scale contract to build a data center in egypt, egypt. project emphasizes digitalization."
win-20466,snc-lavalin,"oil pipeline in ontario, canada",residential,north america,canada,ontario,5638.98,2024-12-11,corporate,56,waste reduction,time and materials,delayed,mega,"snc-lavalin secured a residential mega-scale contract to build a bridge in ontario, canada. project emphasizes sustainability."
win-20467,mace group,"data center in england, uk",industrial,europe,uk,england,293.1,2020-11-23,utility company,84,unknown,lump sum,completed,medium,"mace group secured a industrial medium-scale contract to build a school in england, uk. project emphasizes innovation."
win-20468,leighton asia,"warehouse in france, france",utilities,europe,france,france,5407.76,2024-01-30,government,40,unknown,unit price,cancelled,mega,"leighton asia secured a utilities mega-scale contract to build a oil pipeline in france, france. project emphasizes community impact."
win-20469,fluor,"railway in queensland, australia",healthcare,australia,australia,queensland,460.21,2024-01-24,government,63,waste reduction,fixed-price,cancelled,medium,"fluor secured a healthcare medium-scale contract to build a airport in queensland, australia. project emphasizes digitalization."
win-20470,obayashi corporation,"airport in argentina, argentina",industrial,latin america,argentina,argentina,5526.04,2020-07-15,municipality,15,renewable energy,unit price,delayed,mega,"obayashi corporation secured a industrial mega-scale contract to build a highway in argentina, argentina. project emphasizes community impact."
win-20471,strabag,"dam in victoria, australia",transportation,australia,australia,victoria,66.22,2022-12-25,municipality,18,carbon neutrality,fixed-price,delayed,small,"strabag secured a transportation small-scale contract to build a data center in victoria, australia. project emphasizes sustainability."
win-20472,hyundai e&c,"airport in new south wales, australia",commercial,australia,australia,new south wales,33.33,2025-01-31,utility company,66,unknown,time and materials,completed,small,"hyundai e&c secured a commercial small-scale contract to build a data center in new south wales, australia. project emphasizes innovation."
win-20473,kiewit,"school in nigeria, nigeria",residential,africa,nigeria,nigeria,19.05,2020-11-22,private developer,10,water conservation,cost-plus,on hold,small,"kiewit secured a residential small-scale contract to build a metro system in nigeria, nigeria. project emphasizes digitalization."
win-20474,vinci,"dam in western australia, australia",education,australia,australia,western australia,2478.43,2021-09-22,private developer,53,unknown,time and materials,on hold,mega,"vinci secured a education mega-scale contract to build a solar plant in western australia, australia. project emphasizes sustainability."
win-20475,balfour beatty,"hospital in georgia, usa",utilities,north america,usa,georgia,70.59,2025-04-06,ngo,22,green building,lump sum,cancelled,small,"balfour beatty secured a utilities small-scale contract to build a stadium in georgia, usa. project emphasizes safety."
win-20476,mccarthy,"metro system in ontario, canada",healthcare,north america,canada,ontario,1900.6,2024-03-31,ngo,21,green building,time and materials,delayed,large,"mccarthy secured a healthcare large-scale contract to build a residential complex in ontario, canada. project emphasizes sustainability."
win-20477,fluor,"solar plant in new south wales, australia",energy,australia,australia,new south wales,5582.8,2021-12-18,government,13,water conservation,lump sum,on hold,mega,"fluor secured a energy mega-scale contract to build a oil pipeline in new south wales, australia. project emphasizes innovation."
win-20478,dragados,"airport in singapore, singapore",industrial,asia-pacific,singapore,singapore,67.16,2023-03-19,municipality,18,community engagement,fixed-price,delayed,small,"dragados secured a industrial small-scale contract to build a data center in singapore, singapore. project emphasizes safety."
win-20479,kiewit,"highway in kwazulu-natal, south africa",utilities,africa,south africa,kwazulu-natal,91.84,2024-06-25,corporate,58,water conservation,time and materials,on track,small,"kiewit secured a utilities small-scale contract to build a warehouse in kwazulu-natal, south africa. project emphasizes digitalization."
win-20480,pcl construction,"water treatment plant in sweden, sweden",industrial,europe,sweden,sweden,289.4,2021-08-02,public-private partnership,69,unknown,lump sum,on hold,medium,"pcl construction secured a industrial medium-scale contract to build a refinery in sweden, sweden. project emphasizes sustainability."
win-20481,kajima corporation,"stadium in qatar, qatar",residential,middle east,qatar,qatar,121.46,2023-08-25,government,29,community engagement,fixed-price,on track,medium,"kajima corporation secured a residential medium-scale contract to build a hospital in qatar, qatar. project emphasizes community impact."
win-20482,bechtel,"smart city in japan, japan",commercial,asia-pacific,japan,japan,61.31,2024-07-23,state-owned enterprise,79,unknown,cost-plus,on track,small,"bechtel secured a commercial small-scale contract to build a university campus in japan, japan. project emphasizes sustainability."
win-20483,obayashi corporation,"metro system in qatar, qatar",infrastructure,middle east,qatar,qatar,167.22,2025-03-11,municipality,65,water conservation,time and materials,delayed,medium,"obayashi corporation secured a infrastructure medium-scale contract to build a data center in qatar, qatar. project emphasizes sustainability."
win-20484,mccarthy,"airport in france, france",education,europe,france,france,39.86,2022-09-28,corporate,9,water conservation,cost-plus,completed,small,"mccarthy secured a education small-scale contract to build a stadium in france, france. project emphasizes community impact."
win-20485,strabag,"stadium in egypt, egypt",healthcare,africa,egypt,egypt,101.26,2022-05-14,public-private partnership,83,waste reduction,time and materials,on track,medium,"strabag secured a healthcare medium-scale contract to build a dam in egypt, egypt. project emphasizes safety."
win-20486,saipem,"railway in japan, japan",residential,asia-pacific,japan,japan,361.18,2021-02-04,government,35,unknown,lump sum,on track,medium,"saipem secured a residential medium-scale contract to build a data center in japan, japan. project emphasizes digitalization."
win-20487,leighton asia,"port in poland, poland",education,europe,poland,poland,117.53,2021-05-02,private developer,79,community engagement,unit price,delayed,medium,"leighton asia secured a education medium-scale contract to build a bridge in poland, poland. project emphasizes community impact."
win-20488,whiting-turner,"port in argentina, argentina",infrastructure,latin america,argentina,argentina,6024.6849999999995,2023-10-09,international agency,62,community engagement,cost-plus,on hold,mega,"whiting-turner secured a infrastructure mega-scale contract to build a residential complex in argentina, argentina. project emphasizes innovation."
win-20489,lendlease,"refinery in malaysia, malaysia",industrial,asia-pacific,malaysia,malaysia,6024.6849999999995,2022-10-24,public-private partnership,36,carbon neutrality,lump sum,delayed,mega,"lendlease secured a industrial mega-scale contract to build a shopping mall in malaysia, malaysia. project emphasizes community impact."
win-20490,leighton asia,"bridge in algeria, algeria",residential,africa,algeria,algeria,6024.6849999999995,2024-11-27,public-private partnership,7,community engagement,time and materials,on track,mega,"leighton asia secured a residential mega-scale contract to build a residential complex in algeria, algeria. project emphasizes innovation."
win-20491,vinci,"school in são paulo, brazil",commercial,latin america,brazil,são paulo,176.35,2021-03-03,public-private partnership,12,renewable energy,lump sum,cancelled,medium,"vinci secured a commercial medium-scale contract to build a dam in são paulo, brazil. project emphasizes safety."
win-20492,laing o’rourke,"metro system in western australia, australia",industrial,australia,australia,western australia,48.69,2024-11-25,municipality,72,water conservation,fixed-price,on track,small,"laing o’rourke secured a industrial small-scale contract to build a data center in western australia, australia. project emphasizes innovation."
win-20493,whiting-turner,"school in western australia, australia",utilities,australia,australia,western australia,5752.02,2020-06-25,government,79,green building,unit price,completed,mega,"whiting-turner secured a utilities mega-scale contract to build a warehouse in western australia, australia. project emphasizes sustainability."
win-20494,balfour beatty,"port in colombia, colombia",infrastructure,latin america,colombia,colombia,1664.64,2023-12-05,utility company,82,water conservation,cost-plus,on track,large,"balfour beatty secured a infrastructure large-scale contract to build a high-rise building in colombia, colombia. project emphasizes digitalization."
win-20495,bouygues,"dam in france, france",transportation,europe,france,france,6024.6849999999995,2021-01-02,government,37,waste reduction,time and materials,completed,mega,"bouygues secured a transportation mega-scale contract to build a water treatment plant in france, france. project emphasizes community impact."
win-20496,bechtel,"university campus in illinois, usa",residential,north america,usa,illinois,6024.6849999999995,2024-11-01,ngo,26,carbon neutrality,unit price,on hold,mega,"bechtel secured a residential mega-scale contract to build a oil pipeline in illinois, usa. project emphasizes digitalization."
win-20497,aecom,"port in uae, uae",infrastructure,middle east,uae,uae,3161.78,2022-08-02,state-owned enterprise,46,waste reduction,time and materials,on hold,mega,"aecom secured a infrastructure mega-scale contract to build a bridge in uae, uae. project emphasizes sustainability."
win-20498,gilbane,"airport in georgia, usa",commercial,north america,usa,georgia,13.5,2020-09-24,corporate,50,waste reduction,time and materials,on track,small,"gilbane secured a commercial small-scale contract to build a railway in georgia, usa. project emphasizes community impact."
win-20499,lendlease,"school in saudi arabia, saudi arabia",residential,middle east,saudi arabia,saudi arabia,3859.17,2022-12-29,international agency,73,green building,fixed-price,on hold,mega,"lendlease secured a residential mega-scale contract to build a water treatment plant in saudi arabia, saudi arabia. project emphasizes innovation."
win-20500,strabag,"refinery in ontario, canada",energy,north america,canada,ontario,3330.44,2024-11-23,ngo,60,community engagement,lump sum,on hold,mega,"strabag secured a energy mega-scale contract to build a power plant in ontario, canada. project emphasizes community impact."
win-20501,aecom,"airport in california, usa",transportation,north america,usa,california,426.29,2022-03-25,municipality,36,unknown,lump sum,completed,medium,"aecom secured a transportation medium-scale contract to build a solar plant in california, usa. project emphasizes community impact."
