opportunity_id,sector,region,country,subregion,market_size_usd_b,growth_rate_percent,investment_potential_usd_m,key_drivers,key_players,forecast_year,risk_level,regulatory_barriers,competitive_intensity,description
opp-20110,utilities,australia,australia,western australia,9.37,20.75,12475.54,digitalization,"fluor, salini impregilo, snc-lavalin, multiplex, hyundai e&c, kajima corporation, bam group, strabag, skanska",2031,medium,low,moderate,"high-potential opportunity in utilities sector in western australia, australia (australia), driven by infrastructure needs."
opp-20111,residential,australia,australia,queensland,134.01,8.89,12275.38,green policies,"bechtel, vinci, multiplex, china state construction, cpb contractors, thiess",2030,medium,unknown,high,"high-potential opportunity in residential sector in queensland, australia (australia), driven by government investment."
opp-20112,energy,middle east,qatar,qatar,82.86,20.57,4994.56,digitalization,"acciona, thiess, laing o’rourke, china state construction",2044,high,unknown,high,"high-potential opportunity in energy sector in qatar, qatar (middle east), driven by urban growth."
opp-20113,infrastructure,africa,nigeria,nigeria,46.29,7.23,1338.33,urbanization,"skanska, turner construction, kajima corporation, cpb contractors, strabag, mace group, mccarthy, lendlease, bechtel",2028,medium,high,moderate,"high-potential opportunity in infrastructure sector in nigeria, nigeria (africa), driven by energy demands."
opp-20114,residential,north america,usa,washington,138.01,18.5,14567.1,green policies,"john holland, jacobs, fluor, hyundai e&c, thiess, shimizu corporation, cpb contractors, lendlease, kiewit",2044,low,low,moderate,"high-potential opportunity in residential sector in washington, usa (north america), driven by sustainability goals."
opp-20115,energy,latin america,venezuela,venezuela,153.22,9.51,6032.72,infrastructure demand,"bechtel, dragados, shimizu corporation, bouygues",2040,medium,moderate,low,"high-potential opportunity in energy sector in venezuela, venezuela (latin america), driven by sustainability goals."
opp-20116,industrial,asia-pacific,indonesia,indonesia,168.44,27.96,5717.42,urbanization,"cpb contractors, thiess, shimizu corporation, lendlease, acciona",2041,medium,moderate,low,"high-potential opportunity in industrial sector in indonesia, indonesia (asia-pacific), driven by government investment."
opp-20117,utilities,africa,kenya,kenya,127.0,14.34,2556.12,green policies,"john holland, mortenson construction, kiewit, balfour beatty, kajima corporation",2040,low,moderate,low,"high-potential opportunity in utilities sector in kenya, kenya (africa), driven by urban growth."
opp-20118,commercial,europe,spain,spain,124.09,21.16,12423.57,infrastructure demand,"china state construction, snc-lavalin, fluor, acciona, mortenson construction, kiewit, larsen & toubro, hyundai e&c",2040,low,low,low,"high-potential opportunity in commercial sector in spain, spain (europe), driven by tech adoption."
opp-20119,transportation,middle east,kuwait,kuwait,52.8,13.79,13397.75,population growth,"strabag, shimizu corporation, ferrovial, clark construction",2026,medium,low,low,"high-potential opportunity in transportation sector in kuwait, kuwait (middle east), driven by energy demands."
opp-20120,energy,asia-pacific,malaysia,malaysia,119.9,10.88,2025.69,energy transition,"laing o’rourke, china state construction, skanska, clark construction, mortenson construction, john holland",2033,low,unknown,low,"high-potential opportunity in energy sector in malaysia, malaysia (asia-pacific), driven by infrastructure needs."
opp-20121,education,asia-pacific,india,delhi,175.23,3.92,8779.35,infrastructure demand,"acciona, fluor, salini impregilo, multiplex, bouygues, china state construction",2028,medium,moderate,moderate,"high-potential opportunity in education sector in delhi, india (asia-pacific), driven by sustainability goals."
opp-20122,industrial,australia,australia,queensland,169.61,7.4,2101.47,digitalization,"salini impregilo, hyundai e&c, jacobs, multiplex, fluor, turner construction, skanska, saipem, leighton asia",2037,medium,high,high,"high-potential opportunity in industrial sector in queensland, australia (australia), driven by tech adoption."
opp-20123,residential,middle east,qatar,qatar,39.41,22.18,7855.66,digitalization,"mortenson construction, thiess, gilbane, kajima corporation, multiplex, snc-lavalin",2026,low,high,low,"high-potential opportunity in residential sector in qatar, qatar (middle east), driven by energy demands."
opp-20124,transportation,middle east,saudi arabia,saudi arabia,183.93,16.39,10554.12,urbanization,"multiplex, shimizu corporation, larsen & toubro, strabag, kiewit",2042,low,unknown,high,"high-potential opportunity in transportation sector in saudi arabia, saudi arabia (middle east), driven by energy demands."
opp-20125,industrial,middle east,oman,oman,195.39,17.26,7002.5,infrastructure demand,"balfour beatty, ferrovial, mccarthy, skanska, mace group, cpb contractors, bam group, bechtel, strabag, hochtief",2040,low,unknown,low,"high-potential opportunity in industrial sector in oman, oman (middle east), driven by infrastructure needs."
opp-20126,transportation,latin america,brazil,rio de janeiro,31.09,28.06,89.93,digitalization,"bouygues, lendlease, balfour beatty, hyundai e&c, mortenson construction",2043,low,moderate,moderate,"high-potential opportunity in transportation sector in rio de janeiro, brazil (latin america), driven by urban growth."
opp-20127,energy,australia,australia,western australia,83.86,20.68,13229.07,green policies,"leighton asia, john holland, salini impregilo, mccarthy, obayashi corporation, mace group, whiting-turner, china state construction, ferrovial",2035,low,moderate,high,"high-potential opportunity in energy sector in western australia, australia (australia), driven by infrastructure needs."
opp-20128,education,australia,australia,victoria,75.73,25.41,2510.03,economic growth,"larsen & toubro, ferrovial, john holland, multiplex",2042,high,low,moderate,"high-potential opportunity in education sector in victoria, australia (australia), driven by sustainability goals."
opp-20129,utilities,north america,canada,ontario,13.51,17.03,10843.95,population growth,"turner construction, bechtel, larsen & toubro, hyundai e&c, strabag, balfour beatty, salini impregilo, bouygues, aecom, obayashi corporation",2028,medium,moderate,high,"high-potential opportunity in utilities sector in ontario, canada (north america), driven by sustainability goals."
opp-20130,infrastructure,north america,usa,california,171.32,13.32,14731.45,energy transition,"balfour beatty, leighton asia, kiewit",2027,low,moderate,high,"high-potential opportunity in infrastructure sector in california, usa (north america), driven by urban growth."
opp-20131,residential,latin america,brazil,rio de janeiro,73.89,19.74,13155.66,urbanization,"salini impregilo, saipem, clark construction, china state construction, dragados, fluor, kajima corporation, vinci",2045,high,low,high,"high-potential opportunity in residential sector in rio de janeiro, brazil (latin america), driven by government investment."
opp-20132,industrial,middle east,saudi arabia,saudi arabia,141.54,19.25,10885.78,green policies,"saipem, laing o’rourke, larsen & toubro, jacobs, mace group, mortenson construction, balfour beatty, ferrovial, multiplex, turner construction",2040,low,high,moderate,"high-potential opportunity in industrial sector in saudi arabia, saudi arabia (middle east), driven by infrastructure needs."
opp-20133,infrastructure,europe,france,france,34.62,18.29,7786.5,infrastructure demand,"larsen & toubro, kajima corporation, saipem, kiewit, china state construction",2042,high,low,moderate,"high-potential opportunity in infrastructure sector in france, france (europe), driven by government investment."
opp-20134,transportation,africa,morocco,morocco,55.94,2.13,7505.5,urbanization,"kajima corporation, jacobs, leighton asia, saipem",2030,medium,high,moderate,"high-potential opportunity in transportation sector in morocco, morocco (africa), driven by energy demands."
opp-20135,healthcare,australia,australia,new south wales,114.27,14.4,10186.61,economic growth,"mccarthy, salini impregilo, turner construction, gilbane, bechtel, snc-lavalin, skanska, obayashi corporation, acciona, leighton asia",2030,medium,low,moderate,"high-potential opportunity in healthcare sector in new south wales, australia (australia), driven by energy demands."
opp-20136,education,latin america,chile,chile,102.34,22.26,10076.78,urbanization,"bechtel, lendlease, jacobs, mccarthy, obayashi corporation, shimizu corporation, leighton asia, ferrovial, bouygues",2037,high,moderate,high,"high-potential opportunity in education sector in chile, chile (latin america), driven by infrastructure needs."
opp-20137,industrial,north america,usa,texas,196.27,24.16,4437.46,urbanization,"skanska, snc-lavalin, larsen & toubro, balfour beatty, samsung c&t, bouygues",2037,low,low,low,"high-potential opportunity in industrial sector in texas, usa (north america), driven by infrastructure needs."
opp-20138,energy,asia-pacific,singapore,singapore,70.28,9.44,2590.78,urbanization,"turner construction, hyundai e&c, multiplex, bechtel, ferrovial, samsung c&t, snc-lavalin, leighton asia, gilbane, thiess",2040,medium,unknown,moderate,"high-potential opportunity in energy sector in singapore, singapore (asia-pacific), driven by tech adoption."
opp-20139,commercial,latin america,colombia,colombia,151.44,12.67,4969.7,energy transition,"saipem, acciona, bam group, snc-lavalin, hyundai e&c",2030,high,unknown,high,"high-potential opportunity in commercial sector in colombia, colombia (latin america), driven by government investment."
opp-20140,industrial,asia-pacific,south korea,south korea,157.21,29.94,12733.02,green policies,"hyundai e&c, pcl construction, skanska, mccarthy, saipem, samsung c&t, bechtel",2036,medium,moderate,low,"high-potential opportunity in industrial sector in south korea, south korea (asia-pacific), driven by tech adoption."
opp-20141,transportation,latin america,venezuela,venezuela,24.04,11.5,8501.35,energy transition,"hochtief, skanska, larsen & toubro, mccarthy, bam group, shimizu corporation",2034,high,moderate,low,"high-potential opportunity in transportation sector in venezuela, venezuela (latin america), driven by tech adoption."
opp-20142,healthcare,middle east,saudi arabia,saudi arabia,116.4,18.86,9667.01,urbanization,"jacobs, balfour beatty, bouygues, thiess, pcl construction, strabag, skanska, salini impregilo",2044,medium,low,low,"high-potential opportunity in healthcare sector in saudi arabia, saudi arabia (middle east), driven by urban growth."
opp-20143,industrial,asia-pacific,indonesia,indonesia,139.35,3.67,1768.97,economic growth,"cpb contractors, ferrovial, acciona, turner construction, china state construction, fluor",2032,high,unknown,high,"high-potential opportunity in industrial sector in indonesia, indonesia (asia-pacific), driven by energy demands."
opp-20144,transportation,europe,italy,italy,80.9,1.1,12117.31,digitalization,"hyundai e&c, mccarthy, multiplex, acciona, kiewit, mace group, cpb contractors, thiess, leighton asia",2044,medium,low,low,"high-potential opportunity in transportation sector in italy, italy (europe), driven by tech adoption."
opp-20145,commercial,asia-pacific,south korea,south korea,96.5,5.09,7112.4,economic growth,"multiplex, obayashi corporation, laing o’rourke, salini impregilo, mccarthy",2036,low,unknown,moderate,"high-potential opportunity in commercial sector in south korea, south korea (asia-pacific), driven by energy demands."
opp-20146,education,australia,australia,victoria,121.2,22.18,13734.96,population growth,"salini impregilo, laing o’rourke, vinci, dragados, obayashi corporation, bouygues",2045,low,unknown,high,"high-potential opportunity in education sector in victoria, australia (australia), driven by tech adoption."
opp-20147,commercial,latin america,colombia,colombia,28.04,25.43,11694.81,green policies,"obayashi corporation, ferrovial, china state construction, kiewit, balfour beatty, dragados, pcl construction, john holland, strabag, fluor",2037,medium,low,high,"high-potential opportunity in commercial sector in colombia, colombia (latin america), driven by tech adoption."
opp-20148,education,middle east,qatar,qatar,115.66,24.92,12641.65,green policies,"clark construction, skanska, acciona, turner construction, mortenson construction, leighton asia, kiewit, hochtief",2041,high,low,low,"high-potential opportunity in education sector in qatar, qatar (middle east), driven by sustainability goals."
opp-20149,energy,north america,usa,washington,165.55,0.76,13651.9,urbanization,"acciona, laing o’rourke, jacobs, balfour beatty, whiting-turner, leighton asia, hyundai e&c, hochtief",2037,high,unknown,high,"high-potential opportunity in energy sector in washington, usa (north america), driven by government investment."
opp-20150,transportation,australia,australia,western australia,32.06,22.66,3142.17,digitalization,"multiplex, saipem, thiess, obayashi corporation, shimizu corporation, snc-lavalin, fluor, kiewit, kajima corporation, salini impregilo",2031,high,unknown,high,"high-potential opportunity in transportation sector in western australia, australia (australia), driven by urban growth."
opp-20151,utilities,middle east,kuwait,kuwait,81.64,29.41,12769.34,digitalization,"turner construction, thiess, jacobs, strabag, china state construction, laing o’rourke, saipem, hyundai e&c, kajima corporation, skanska",2037,low,unknown,high,"high-potential opportunity in utilities sector in kuwait, kuwait (middle east), driven by government investment."
opp-20152,infrastructure,latin america,peru,peru,14.61,11.08,8294.11,digitalization,"lendlease, john holland, thiess, dragados, hyundai e&c, mortenson construction, saipem, bam group, samsung c&t, kajima corporation",2039,low,low,high,"high-potential opportunity in infrastructure sector in peru, peru (latin america), driven by sustainability goals."
opp-20153,infrastructure,north america,canada,ontario,134.48,17.27,6204.61,energy transition,"pcl construction, mortenson construction, skanska, balfour beatty, fluor, salini impregilo",2044,high,high,low,"high-potential opportunity in infrastructure sector in ontario, canada (north america), driven by sustainability goals."
opp-20154,commercial,europe,sweden,sweden,10.76,25.57,4041.15,green policies,"kajima corporation, turner construction, snc-lavalin",2043,high,unknown,moderate,"high-potential opportunity in commercial sector in sweden, sweden (europe), driven by energy demands."
opp-20155,healthcare,australia,australia,western australia,62.6,21.85,7214.88,digitalization,"dragados, balfour beatty, shimizu corporation, gilbane",2028,low,low,low,"high-potential opportunity in healthcare sector in western australia, australia (australia), driven by urban growth."
opp-20156,commercial,africa,nigeria,nigeria,167.91,18.27,2359.7,green policies,"jacobs, whiting-turner, saipem, lendlease",2037,high,moderate,high,"high-potential opportunity in commercial sector in nigeria, nigeria (africa), driven by urban growth."
opp-20157,energy,africa,kenya,kenya,117.39,25.24,200.56,digitalization,"samsung c&t, snc-lavalin, bouygues, strabag, kiewit, laing o’rourke, salini impregilo, jacobs, kajima corporation, whiting-turner",2043,low,moderate,low,"high-potential opportunity in energy sector in kenya, kenya (africa), driven by tech adoption."
opp-20158,education,australia,australia,western australia,4.01,13.13,584.17,population growth,"lendlease, skanska, whiting-turner, kajima corporation, strabag, acciona",2035,medium,high,moderate,"high-potential opportunity in education sector in western australia, australia (australia), driven by government investment."
opp-20159,industrial,middle east,saudi arabia,saudi arabia,61.56,23.96,12591.65,urbanization,"kajima corporation, pcl construction, gilbane, bouygues, dragados, samsung c&t, thiess, acciona, obayashi corporation",2027,medium,moderate,high,"high-potential opportunity in industrial sector in saudi arabia, saudi arabia (middle east), driven by government investment."
opp-20160,transportation,north america,usa,illinois,113.11,15.69,7424.04,economic growth,"balfour beatty, obayashi corporation, vinci",2039,medium,moderate,low,"high-potential opportunity in transportation sector in illinois, usa (north america), driven by urban growth."
opp-20161,healthcare,middle east,oman,oman,66.78,10.47,7321.24,population growth,"shimizu corporation, aecom, mace group, pcl construction, strabag, fluor, samsung c&t, obayashi corporation, kiewit",2044,high,low,high,"high-potential opportunity in healthcare sector in oman, oman (middle east), driven by tech adoption."
opp-20162,infrastructure,asia-pacific,malaysia,malaysia,85.01,23.59,14359.14,urbanization,"salini impregilo, mccarthy, saipem",2028,medium,low,high,"high-potential opportunity in infrastructure sector in malaysia, malaysia (asia-pacific), driven by urban growth."
opp-20163,infrastructure,north america,canada,quebec,68.56,3.46,12939.78,infrastructure demand,"whiting-turner, bam group, lendlease",2031,medium,high,high,"high-potential opportunity in infrastructure sector in quebec, canada (north america), driven by urban growth."
opp-20164,industrial,north america,usa,texas,31.04,29.1,5253.04,infrastructure demand,"kajima corporation, shimizu corporation, whiting-turner, thiess, mccarthy, samsung c&t, fluor, kiewit",2035,high,low,low,"high-potential opportunity in industrial sector in texas, usa (north america), driven by tech adoption."
opp-20165,industrial,latin america,peru,peru,177.05,3.23,7064.12,green policies,"thiess, lendlease, dragados, bouygues, whiting-turner, kajima corporation, shimizu corporation, larsen & toubro, saipem",2044,low,high,high,"high-potential opportunity in industrial sector in peru, peru (latin america), driven by government investment."
opp-20166,transportation,australia,australia,queensland,162.6,23.93,287.43,energy transition,"salini impregilo, whiting-turner, kajima corporation, samsung c&t, vinci, kiewit, bam group, leighton asia, lendlease, snc-lavalin",2032,high,moderate,low,"high-potential opportunity in transportation sector in queensland, australia (australia), driven by energy demands."
opp-20167,healthcare,latin america,chile,chile,36.57,22.47,13205.91,infrastructure demand,"shimizu corporation, mace group, skanska",2039,medium,high,moderate,"high-potential opportunity in healthcare sector in chile, chile (latin america), driven by urban growth."
opp-20168,industrial,middle east,saudi arabia,saudi arabia,22.66,21.95,9079.95,digitalization,"hochtief, china state construction, multiplex, kiewit, snc-lavalin",2040,high,high,high,"high-potential opportunity in industrial sector in saudi arabia, saudi arabia (middle east), driven by tech adoption."
opp-20169,industrial,australia,australia,queensland,15.41,18.91,1980.25,green policies,"salini impregilo, dragados, mortenson construction, snc-lavalin",2033,medium,unknown,high,"high-potential opportunity in industrial sector in queensland, australia (australia), driven by government investment."
opp-20170,education,asia-pacific,china,beijing,198.5,4.72,8424.24,economic growth,"fluor, whiting-turner, turner construction, larsen & toubro",2034,low,high,moderate,"high-potential opportunity in education sector in beijing, china (asia-pacific), driven by sustainability goals."
opp-20171,education,europe,france,france,162.98,21.85,1471.47,economic growth,"bouygues, bechtel, salini impregilo, clark construction, obayashi corporation, kajima corporation, acciona, thiess, strabag",2029,low,low,low,"high-potential opportunity in education sector in france, france (europe), driven by government investment."
opp-20172,education,africa,south africa,gauteng,14.17,24.4,12730.45,economic growth,"cpb contractors, laing o’rourke, larsen & toubro, ferrovial, mccarthy, kajima corporation, balfour beatty, bechtel, thiess, china state construction",2031,medium,unknown,moderate,"high-potential opportunity in education sector in gauteng, south africa (africa), driven by energy demands."
opp-20173,energy,australia,australia,western australia,163.29,21.69,12361.2,population growth,"gilbane, pcl construction, skanska, obayashi corporation, saipem, larsen & toubro, laing o’rourke, aecom, dragados",2041,medium,moderate,moderate,"high-potential opportunity in energy sector in western australia, australia (australia), driven by energy demands."
opp-20174,infrastructure,north america,usa,georgia,24.54,5.41,1250.03,infrastructure demand,"kiewit, hochtief, john holland, fluor, china state construction, mccarthy, skanska, laing o’rourke, turner construction, snc-lavalin",2034,low,high,moderate,"high-potential opportunity in infrastructure sector in georgia, usa (north america), driven by sustainability goals."
opp-20175,transportation,latin america,brazil,são paulo,31.61,17.02,912.55,digitalization,"pcl construction, multiplex, salini impregilo, ferrovial, balfour beatty, aecom, bouygues, kiewit, shimizu corporation, jacobs",2026,medium,high,high,"high-potential opportunity in transportation sector in são paulo, brazil (latin america), driven by urban growth."
opp-20176,healthcare,europe,uk,wales,142.14,8.46,2955.3,energy transition,"strabag, mortenson construction, hochtief, fluor, mace group, clark construction, laing o’rourke, salini impregilo",2027,low,low,moderate,"high-potential opportunity in healthcare sector in wales, uk (europe), driven by infrastructure needs."
opp-20177,industrial,africa,nigeria,nigeria,37.76,12.98,166.02,population growth,"clark construction, china state construction, mace group, hochtief, thiess, whiting-turner, hyundai e&c, ferrovial, cpb contractors, acciona",2031,high,moderate,low,"high-potential opportunity in industrial sector in nigeria, nigeria (africa), driven by energy demands."
opp-20178,energy,australia,australia,victoria,122.89,24.7,14110.81,green policies,"bouygues, mortenson construction, lendlease, john holland, thiess, kiewit, skanska",2027,high,moderate,high,"high-potential opportunity in energy sector in victoria, australia (australia), driven by energy demands."
opp-20179,commercial,africa,egypt,egypt,181.31,19.49,12837.74,infrastructure demand,"fluor, larsen & toubro, lendlease, mortenson construction, leighton asia, turner construction",2045,medium,low,low,"high-potential opportunity in commercial sector in egypt, egypt (africa), driven by government investment."
opp-20180,energy,latin america,colombia,colombia,83.72,18.04,14307.09,energy transition,"kiewit, larsen & toubro, fluor, snc-lavalin, samsung c&t",2032,medium,unknown,low,"high-potential opportunity in energy sector in colombia, colombia (latin america), driven by urban growth."
opp-20181,commercial,africa,morocco,morocco,197.99,23.16,9686.12,economic growth,"ferrovial, salini impregilo, multiplex, shimizu corporation, whiting-turner, mccarthy, china state construction, hyundai e&c, thiess, saipem",2038,medium,moderate,high,"high-potential opportunity in commercial sector in morocco, morocco (africa), driven by government investment."
opp-20182,commercial,europe,germany,germany,154.97,3.04,4672.32,energy transition,"mortenson construction, hochtief, shimizu corporation, john holland, dragados, thiess, hyundai e&c, fluor",2044,high,high,high,"high-potential opportunity in commercial sector in germany, germany (europe), driven by government investment."
opp-20183,energy,europe,sweden,sweden,153.06,8.46,11529.69,urbanization,"bouygues, jacobs, china state construction, cpb contractors, samsung c&t",2045,low,moderate,low,"high-potential opportunity in energy sector in sweden, sweden (europe), driven by government investment."
opp-20184,utilities,africa,kenya,kenya,103.18,18.85,4975.37,economic growth,"bouygues, strabag, turner construction, whiting-turner, jacobs",2026,low,moderate,low,"high-potential opportunity in utilities sector in kenya, kenya (africa), driven by urban growth."
opp-20185,healthcare,middle east,oman,oman,19.18,3.48,9459.58,urbanization,"hochtief, laing o’rourke, hyundai e&c, samsung c&t, john holland",2036,low,unknown,moderate,"high-potential opportunity in healthcare sector in oman, oman (middle east), driven by energy demands."
opp-20186,transportation,latin america,chile,chile,166.49,22.04,7174.35,infrastructure demand,"shimizu corporation, leighton asia, samsung c&t, china state construction, larsen & toubro, salini impregilo",2027,low,low,moderate,"high-potential opportunity in transportation sector in chile, chile (latin america), driven by tech adoption."
opp-20187,industrial,europe,germany,germany,28.49,14.2,2547.63,digitalization,"strabag, turner construction, cpb contractors, shimizu corporation, lendlease",2043,low,moderate,low,"high-potential opportunity in industrial sector in germany, germany (europe), driven by government investment."
opp-20188,infrastructure,asia-pacific,japan,japan,53.37,0.93,4563.86,population growth,"leighton asia, lendlease, balfour beatty, thiess, kiewit",2029,medium,moderate,high,"high-potential opportunity in infrastructure sector in japan, japan (asia-pacific), driven by urban growth."
opp-20189,residential,africa,nigeria,nigeria,106.52,9.86,11012.6,urbanization,"ferrovial, strabag, whiting-turner, saipem, bam group, obayashi corporation, fluor, shimizu corporation, john holland, clark construction",2033,medium,low,high,"high-potential opportunity in residential sector in nigeria, nigeria (africa), driven by urban growth."
opp-20190,residential,africa,south africa,western cape,111.87,21.08,11624.85,infrastructure demand,"kiewit, whiting-turner, clark construction, aecom, strabag, skanska, mortenson construction, snc-lavalin, bouygues, fluor",2040,high,low,low,"high-potential opportunity in residential sector in western cape, south africa (africa), driven by sustainability goals."
opp-20191,industrial,asia-pacific,china,shanghai,10.92,19.27,9508.78,digitalization,"kajima corporation, leighton asia, lendlease",2029,low,unknown,moderate,"high-potential opportunity in industrial sector in shanghai, china (asia-pacific), driven by government investment."
opp-20192,transportation,europe,spain,spain,94.57,26.9,2562.79,economic growth,"samsung c&t, strabag, bouygues, turner construction, dragados, leighton asia, lendlease, vinci, whiting-turner, mortenson construction",2031,high,moderate,low,"high-potential opportunity in transportation sector in spain, spain (europe), driven by urban growth."
opp-20193,industrial,asia-pacific,australia,victoria,190.55,17.88,11889.9,infrastructure demand,"jacobs, bechtel, kiewit, vinci, skanska",2037,low,moderate,moderate,"high-potential opportunity in industrial sector in victoria, australia (asia-pacific), driven by urban growth."
opp-20194,healthcare,africa,south africa,kwazulu-natal,47.48,8.35,4288.3,energy transition,"shimizu corporation, balfour beatty, kajima corporation, larsen & toubro, aecom, bouygues, ferrovial",2043,medium,low,moderate,"high-potential opportunity in healthcare sector in kwazulu-natal, south africa (africa), driven by infrastructure needs."
opp-20195,energy,asia-pacific,singapore,singapore,68.81,12.56,9410.78,digitalization,"bechtel, leighton asia, thiess, dragados, strabag, skanska, mccarthy, bouygues",2039,medium,low,moderate,"high-potential opportunity in energy sector in singapore, singapore (asia-pacific), driven by sustainability goals."
opp-20196,energy,middle east,qatar,qatar,72.77,10.04,14803.14,energy transition,"ferrovial, cpb contractors, hochtief, larsen & toubro, john holland, bouygues, saipem",2026,medium,high,moderate,"high-potential opportunity in energy sector in qatar, qatar (middle east), driven by government investment."
opp-20197,transportation,middle east,qatar,qatar,116.27,21.51,1297.32,energy transition,"vinci, hochtief, larsen & toubro",2032,low,moderate,high,"high-potential opportunity in transportation sector in qatar, qatar (middle east), driven by infrastructure needs."
opp-20198,infrastructure,north america,usa,texas,131.99,6.92,14361.62,urbanization,"cpb contractors, snc-lavalin, kiewit",2028,medium,low,moderate,"high-potential opportunity in infrastructure sector in texas, usa (north america), driven by energy demands."
opp-20199,energy,africa,algeria,algeria,150.99,27.35,11523.19,urbanization,"mace group, snc-lavalin, skanska, strabag, bam group",2026,medium,low,high,"high-potential opportunity in energy sector in algeria, algeria (africa), driven by government investment."
opp-20200,industrial,middle east,saudi arabia,saudi arabia,149.08,26.8,2186.22,population growth,"hyundai e&c, cpb contractors, pcl construction, bam group, dragados, kiewit, bouygues, ferrovial, bechtel",2028,high,low,moderate,"high-potential opportunity in industrial sector in saudi arabia, saudi arabia (middle east), driven by infrastructure needs."
opp-20201,industrial,africa,algeria,algeria,171.1,2.44,8128.04,economic growth,"leighton asia, thiess, strabag, lendlease, snc-lavalin, bouygues, john holland, hyundai e&c, aecom",2040,low,unknown,moderate,"high-potential opportunity in industrial sector in algeria, algeria (africa), driven by tech adoption."
opp-20202,education,australia,australia,new south wales,48.88,17.39,9036.26,infrastructure demand,"dragados, balfour beatty, whiting-turner",2038,high,low,moderate,"high-potential opportunity in education sector in new south wales, australia (australia), driven by energy demands."
opp-20203,infrastructure,north america,usa,illinois,87.93,19.84,1994.2,energy transition,"bechtel, fluor, thiess, balfour beatty",2036,medium,low,high,"high-potential opportunity in infrastructure sector in illinois, usa (north america), driven by urban growth."
opp-20204,utilities,asia-pacific,singapore,singapore,47.94,8.79,12724.19,population growth,"hochtief, bouygues, john holland, aecom, ferrovial",2044,medium,unknown,moderate,"high-potential opportunity in utilities sector in singapore, singapore (asia-pacific), driven by tech adoption."
opp-20205,transportation,north america,mexico,mexico,197.45,14.02,7960.84,digitalization,"snc-lavalin, ferrovial, gilbane, fluor, mccarthy, multiplex, shimizu corporation, skanska, vinci, balfour beatty",2039,low,low,high,"high-potential opportunity in transportation sector in mexico, mexico (north america), driven by urban growth."
opp-20206,utilities,middle east,qatar,qatar,123.88,2.07,10005.92,digitalization,"saipem, whiting-turner, thiess, mccarthy",2044,low,moderate,low,"high-potential opportunity in utilities sector in qatar, qatar (middle east), driven by government investment."
opp-20207,infrastructure,europe,netherlands,netherlands,159.98,2.57,12212.74,economic growth,"gilbane, hyundai e&c, acciona",2033,medium,moderate,low,"high-potential opportunity in infrastructure sector in netherlands, netherlands (europe), driven by government investment."
opp-20208,energy,asia-pacific,australia,victoria,23.85,24.74,10920.1,green policies,"dragados, samsung c&t, cpb contractors, ferrovial, whiting-turner, hyundai e&c, bechtel, balfour beatty",2043,medium,moderate,high,"high-potential opportunity in energy sector in victoria, australia (asia-pacific), driven by energy demands."
opp-20209,healthcare,africa,kenya,kenya,171.63,3.37,2944.28,digitalization,"pcl construction, ferrovial, clark construction, hochtief, snc-lavalin, bechtel, gilbane, china state construction, bam group, cpb contractors",2036,low,unknown,high,"high-potential opportunity in healthcare sector in kenya, kenya (africa), driven by government investment."
opp-20210,utilities,africa,south africa,kwazulu-natal,81.07,25.14,13694.03,infrastructure demand,"gilbane, hochtief, kiewit, cpb contractors, hyundai e&c, dragados, fluor, aecom, shimizu corporation, samsung c&t",2032,medium,unknown,moderate,"high-potential opportunity in utilities sector in kwazulu-natal, south africa (africa), driven by tech adoption."
opp-20211,commercial,north america,canada,ontario,75.57,9.68,9654.27,infrastructure demand,"thiess, mortenson construction, leighton asia",2037,medium,moderate,high,"high-potential opportunity in commercial sector in ontario, canada (north america), driven by sustainability goals."
opp-20212,energy,africa,kenya,kenya,153.6,3.72,7027.92,urbanization,"cpb contractors, fluor, obayashi corporation, bouygues, laing o’rourke, shimizu corporation, skanska",2039,medium,high,low,"high-potential opportunity in energy sector in kenya, kenya (africa), driven by urban growth."
opp-20213,commercial,africa,nigeria,nigeria,26.98,20.39,2285.09,infrastructure demand,"mccarthy, thiess, laing o’rourke, balfour beatty, leighton asia, acciona",2043,medium,low,high,"high-potential opportunity in commercial sector in nigeria, nigeria (africa), driven by energy demands."
opp-20214,utilities,asia-pacific,south korea,south korea,62.79,13.84,3841.06,urbanization,"china state construction, leighton asia, hochtief, aecom, laing o’rourke, shimizu corporation, snc-lavalin, bouygues, john holland, larsen & toubro",2043,high,high,low,"high-potential opportunity in utilities sector in south korea, south korea (asia-pacific), driven by energy demands."
opp-20215,commercial,europe,germany,germany,163.32,16.97,5251.92,infrastructure demand,"acciona, obayashi corporation, bechtel, kiewit, fluor, skanska, china state construction, larsen & toubro, whiting-turner, dragados",2040,medium,high,moderate,"high-potential opportunity in commercial sector in germany, germany (europe), driven by sustainability goals."
opp-20216,transportation,latin america,argentina,argentina,85.86,16.13,10831.32,energy transition,"whiting-turner, multiplex, pcl construction, skanska, larsen & toubro, mace group, samsung c&t, aecom, vinci",2028,medium,unknown,moderate,"high-potential opportunity in transportation sector in argentina, argentina (latin america), driven by government investment."
opp-20217,energy,australia,australia,victoria,112.24,15.95,14829.58,urbanization,"shimizu corporation, bechtel, pcl construction",2033,low,moderate,high,"high-potential opportunity in energy sector in victoria, australia (australia), driven by infrastructure needs."
